Event,Model,Epochs,K,Dataset,Test,Metric,Value
tstr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,50,0,superstore,sdv_eval,quality_score,0.7586153965106336
trtr,GANBLR,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,0,superstore,adaboost,accuracy,0.8694347173586794
tstr,GANBLR,100,0,superstore,random_forest,accuracy,0.9539769884942472
tstr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,100,0,superstore,sdv_eval,quality_score,0.3674591118385466
trtr,GANBLR,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,0,superstore,random_forest,accuracy,0.9629814907453726
trtr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,0,superstore,adaboost,accuracy,0.815407703851926
tstr,GANBLR,100,0,superstore,random_forest,accuracy,0.9524762381190596
tstr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,100,0,superstore,sdv_eval,quality_score,0.3659521470458033
trtr,GANBLR,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,0,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,0,superstore,adaboost,accuracy,0.6258129064532266
tstr,GANBLR,100,0,superstore,random_forest,accuracy,0.9559779889944972
tstr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,100,0,superstore,sdv_eval,quality_score,0.3658247979130508
trtr,GANBLR,100,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,1,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,100,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,1,superstore,adaboost,accuracy,0.888944472236118
tstr,GANBLR,100,1,superstore,random_forest,accuracy,0.9384692346173088
tstr,GANBLR,100,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,100,1,superstore,sdv_eval,quality_score,0.4245240326015042
trtr,GANBLR,100,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,1,superstore,random_forest,accuracy,0.9654827413706852
trtr,GANBLR,100,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,1,superstore,adaboost,accuracy,0.937968984492246
tstr,GANBLR,100,1,superstore,random_forest,accuracy,0.8864432216108054
tstr,GANBLR,100,1,superstore,svm,accuracy,0.9299649824912456
sdv_eval,GANBLR,100,1,superstore,sdv_eval,quality_score,0.425096345686321
trtr,GANBLR,100,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,100,1,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,100,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,1,superstore,adaboost,accuracy,0.911455727863932
tstr,GANBLR,100,1,superstore,random_forest,accuracy,0.9444722361180592
tstr,GANBLR,100,1,superstore,svm,accuracy,0.9309654827413708
sdv_eval,GANBLR,100,1,superstore,sdv_eval,quality_score,0.4261780553183246
trtr,CTGAN,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,100,0,superstore,random_forest,accuracy,0.9654827413706852
trtr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,100,0,superstore,adaboost,accuracy,0.8319159579789895
tstr,CTGAN,100,0,superstore,random_forest,accuracy,0.933966983491746
tstr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,100,0,superstore,sdv_eval,quality_score,0.7840693052216909
trtr,CTGAN,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,100,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,100,0,superstore,adaboost,accuracy,0.8059029514757379
tstr,CTGAN,100,0,superstore,random_forest,accuracy,0.9294647323661832
tstr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,100,0,superstore,sdv_eval,quality_score,0.7738904706482574
trtr,CTGAN,100,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,100,0,superstore,random_forest,accuracy,0.9639819909954978
trtr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,100,0,superstore,adaboost,accuracy,0.9154577288644322
tstr,CTGAN,100,0,superstore,random_forest,accuracy,0.9169584792396198
tstr,CTGAN,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,100,0,superstore,sdv_eval,quality_score,0.7653766502325638
trtr,GANBLR,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,150,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,0,superstore,adaboost,accuracy,0.815407703851926
tstr,GANBLR,150,0,superstore,random_forest,accuracy,0.9524762381190596
tstr,GANBLR,150,0,superstore,svm,accuracy,0.9309654827413708
sdv_eval,GANBLR,150,0,superstore,sdv_eval,quality_score,0.3549986052237403
trtr,GANBLR,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,150,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,0,superstore,adaboost,accuracy,0.5597798899449725
tstr,GANBLR,150,0,superstore,random_forest,accuracy,0.9534767383691846
